Term ID,English,IAST,Devanagari,Confidence,Reason
ITA-1.2.1,"Life process, cycle or",,,low,
ITA-1.3.1,Three core principles,"trisūtrāyurvedaḥ,",त्रिसूत्रायुर्वेदः,low,IAST-corrected; IAST+Devanagari present
ITA-1.4.1,Eight clinical speciali-,aṣṭāṅgāyurvedaḥ,अष्टांगायुर्वेदः,low,IAST-corrected; IAST+Devanagari present
ITA-1.4.5,Psychiatry,"grahacikitsā, bhūtavidyā.","ग्रहचिकित्सा, भूतविद्या",low,IAST-corrected; IAST+Devanagari present
ITA-1.4.8,Toxicology,"viṣacikitsā, garacikitsā","विषचिकित्सा, गरचिकित्सा",low,IAST-corrected; IAST+Devanagari present
ITA-1.4.10,Fertility treatment,"vajikaraṇacikitsa,",वजिकरनअचिकित्स,low,IAST-corrected; IAST+Devanagari present
ITA-1.4.11,"Obstetrics,","prasūtītantra, strīroga","प्रसूतीतन्त्र, स्त्रीरोग",low,IAST-corrected; IAST+Devanagari present
ITA-1.5.1,Knowledge system,"śāstram, sūtram,","शास्त्रम, सूत्रम",low,IAST-corrected; IAST+Devanagari present
ITA-1.5.3,Branch of knowledge,śākhā,शाखा,low,IAST+Devanagari present
ITA-1.5.7,Mandatory injunction,vidhiḥ,विधिः,low,IAST+Devanagari present
ITA-1.5.9,Qualities of technical,śāstraguṇāḥ,शास्त्रगुणाः,low,IAST-corrected; IAST+Devanagari present
ITA-1.6.1,Devices for,tantrayuktiḥ,तन्त्रयुक्तिः,low,IAST-corrected; IAST+Devanagari present
ITA-1.6.2,Extending the scope,atideśaḥ,अतिदेशः,low,IAST-corrected; IAST+Devanagari present
ITA-1.6.3,Retrospective cross-,atītāvekṣaṇam,अतीतावेक्षणम,low,IAST-corrected; IAST+Devanagari present
ITA-1.6.4,Topic or subject of,adhikaraṇam,अधिकरणम,low,IAST+Devanagari present
ITA-1.6.5,Prospective cross-,anāgatavekṣaṇam,अनागतवेक्षणम,low,IAST-corrected; IAST+Devanagari present
ITA-1.6.6,Acceptance by not,anumataḥ,अनुमतः,low,IAST-corrected; IAST+Devanagari present
ITA-1.6.7,Acceptance of multiple,anekāntaḥ,अनेकान्तः,low,IAST-corrected; IAST+Devanagari present
ITA-1.6.8,Supporting a proposed,apadeśaḥ,अपदेशः,low,IAST-corrected; IAST+Devanagari present
ITA-1.6.9,Statement of,apavargaḥ,अपवर्गः,low,IAST-corrected; IAST+Devanagari present
